,coef,std err,t,P>|t|,[0.025,0.975]
2005 beta:Cluster[Cluster 6],-1.194e-05,0.0,-0.07400000000000001,0.941,-0.0,0.0
2005 beta:Cluster[Cluster 7],0.0005,0.0,2.667,0.008,0.0,0.001
2005 beta:Cluster[Cluster 8],0.0005,0.0,3.145,0.002,0.0,0.001
2005 beta:Cluster[Cluster 9],0.0007,0.0,3.1489999999999996,0.002,0.0,0.001
2005 Intercept,-0.0007,0.0,-3.843,0.0,-0.001,-0.0
2005 beta:GICS_SECTOR_NAME[Communication Services],0.0004,0.0,1.412,0.159,-0.0,0.001
2005 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0007,0.0,4.456,0.0,0.0,0.001
2005 beta:GICS_SECTOR_NAME[Consumer Staples],0.0009,0.0,3.3080000000000003,0.001,0.0,0.002
2005 beta:GICS_SECTOR_NAME[Energy],0.0019,0.0,11.062000000000001,0.0,0.002,0.002
2005 beta:GICS_SECTOR_NAME[Financials],0.001,0.0,5.462000000000001,0.0,0.001,0.001
2005 beta:GICS_SECTOR_NAME[Health Care],0.0014,0.0,6.312,0.0,0.001,0.002
2005 beta:GICS_SECTOR_NAME[Industrials],0.0008,0.0,4.414,0.0,0.0,0.001
2005 beta:GICS_SECTOR_NAME[Information Technology],0.0007,0.0,4.352,0.0,0.0,0.001
2005 beta:GICS_SECTOR_NAME[Materials],0.0008,0.0,4.765,0.0,0.0,0.001
2005 beta:GICS_SECTOR_NAME[Real Estate],0.0009,0.0,2.91,0.004,0.0,0.002
2005 beta:GICS_SECTOR_NAME[Utilities],0.0012,0.0,5.207999999999999,0.0,0.001,0.002
2005 Intercept,-0.0004,0.0,-2.926,0.004,-0.001,-0.0
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0003,0.0,1.065,0.287,-0.0,0.001
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0004,0.0,3.238,0.001,0.0,0.001
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0005,0.0,2.364,0.018000000000000002,9.09e-05,0.001
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.0018,0.0,11.639000000000001,0.0,0.002,0.002
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0008,0.0,4.611000000000001,0.0,0.0,0.001
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0012,0.0,6.218,0.0,0.001,0.002
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0006,0.0,3.905,0.0,0.0,0.001
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0007,0.0,4.244,0.0,0.0,0.001
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0007,0.0,2.6839999999999997,0.008,0.0,0.001
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0005,0.0,3.721,0.0,0.0,0.001
2005 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.001,0.0,4.978,0.0,0.001,0.001
2006 Intercept,0.0006,0.0,5.0760000000000005,0.0,0.0,0.001
2006 beta:Cluster[Cluster 0],-3.454e-05,0.0,-0.21100000000000002,0.833,-0.0,0.0
2006 beta:Cluster[Cluster 1],-0.0001,9.19e-05,-1.167,0.244,-0.0,7.340000000000001e-05
2006 beta:Cluster[Cluster 10],-3.693e-06,0.0,-0.032,0.975,-0.0,0.0
2006 beta:Cluster[Cluster 3],-1.978e-05,0.0,-0.142,0.887,-0.0,0.0
2006 beta:Cluster[Cluster 4],-0.0002,0.0,-1.4909999999999999,0.13699999999999998,-0.0,5.3e-05
2006 beta:Cluster[Cluster 5],7.836e-05,0.0,0.289,0.772,-0.0,0.001
2006 beta:Cluster[Cluster 6],1.608e-05,0.0,0.11199999999999999,0.9109999999999999,-0.0,0.0
2006 beta:Cluster[Cluster 7],6.114e-05,0.0,0.442,0.6579999999999999,-0.0,0.0
2006 beta:Cluster[Cluster 8],-0.0008,0.0,-3.6260000000000003,0.0,-0.001,-0.0
2006 beta:Cluster[Cluster 9],0.0003,9.49e-05,2.66,0.008,6.6e-05,0.0
2006 beta:Cluster[Cluster_NO_MAP_Cluster 2],0.0016,0.0,3.4360000000000004,0.001,0.001,0.002
2006 Intercept,0.0004,0.0,3.178,0.002,0.0,0.001
2006 beta:GICS_SECTOR_NAME[Communication Services],0.0003,0.0,1.663,0.09699999999999999,-6.0299999999999995e-05,0.001
2006 beta:GICS_SECTOR_NAME[Consumer Discretionary],6.18e-05,0.0,0.512,0.609,-0.0,0.0
2006 beta:GICS_SECTOR_NAME[Consumer Staples],5.702e-05,0.0,0.239,0.8109999999999999,-0.0,0.001
